Company Name,ESG Rating
AAC TECHNOLOGIES HOLDINGS INC.,BBB
EQT AB,AA
Addtech AB,AA
Skanska AB,A
Trelleborg AB,BBB
Boliden AB,AAA
Securitas AB,BBB
Getinge AB,B
"Arca Continental, S.A.B. de C.V.",BBB
AYALA CORPORATION,BBB
AIR CANADA,A
"MS&AD Insurance Group Holdings, Inc.",AA
Koninklijke Ahold Delhaize N.V.,AA
ADOBE INC.,AAA
Advanced Petrochemical Company SJSC,BB
"CNGR Advanced Material Co., Ltd.",BBB
Advanced Micro-Fabrication Equipment Inc China,BBB
Advanced Info Service Public Company Limited,AA
"COSMO ADVANCED MATERIALS & TECHNOLOGY CO., LTD",BB
Aegon Ltd,AA
MTU Aero Engines AG,AA
"AECC AERO-ENGINE CONTROL CO.,LTD.",CCC
Swisscom AG,AA
Clariant AG,AA
Symrise AG,AA
Holcim AG,AA
Alcon AG,AAA
Novartis AG,AA
Geberit AG,AA
Avolta AG,A
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA,A
AIA Group Limited,AA
AIB GROUP PUBLIC LIMITED COMPANY,AA
"Shanghai International Airport Co., Ltd.",B
"Hainan Airport Infrastructure Co., Ltd",B
Air China Limited,BBB
SINGAPORE AIRLINES LIMITED,A
SOUTHWEST AIRLINES CO.,BB
"Ajinomoto Co., Inc.",AAA
"AKAMAI TECHNOLOGIES, INC.",AA
AKBANK TURK ANONIM SIRKETI,A
MERCK Kommanditgesellschaft auf Aktien,AAA
DAR AL ARKAN REAL ESTATE DEVELOPMENT COMPANY SJSC,CCC
Al-Rajhi Company for Cooperative Insurance SJSC,CCC
Masraf Al Rayan (Q.P.S.C.),BB
Al Nahdi Medical Company SJSC,BBB
AL RAJHI BANKING AND INVESTMENT CORPORATION SJSC,A
Dr Sulaiman Al Habib Medical Services Group Company SJSC,A
"ALIGN TECHNOLOGY, INC.",A
"WALGREENS BOOTS ALLIANCE, INC.",A
CP All Public Company Limited,A
DASSAULT AVIATION SA,B
PT AMMAN MINERAL INTERNASIONAL TBK.,BBB
Enel Americas S.A.,AAA
BANK OF AMERICA CORPORATION,A
PACKAGING CORPORATION OF AMERICA,BB
ANGLO AMERICAN PLC,AA
AMERICAN TOWER CORPORATION,AAA
AMERICAN EXPRESS COMPANY,AA
"Ping An Bank Co., Ltd.",BBB
"Ping An Insurance (Group) Company of China, Ltd.",A
ANA HOLDINGS INC.,AA
"VERISK ANALYTICS, INC.",A
LARSEN AND TOUBRO LIMITED,BBB
ELI LILLY AND COMPANY,A
MAHINDRA AND MAHINDRA LIMITED,A
Power and Water Utility Company for Jubail and Yanbu SJSC,CCC
Formosa Chemicals And Fibre Corporation,B
Aon plc,A
"AECC AVIATION POWER CO,LTD",CCC
APA Group,AAA
APA CORPORATION,A
"APPLIED MATERIALS, INC.",AAA
"MID-AMERICA APARTMENT COMMUNITIES, INC.",BB
CANADIAN APARTMENT PROPERTIES REAL ESTATE INVESTMENT TRUST,BBB
"HANGZHOU FIRST APPLIED MATERIAL CO., LTD.",BB
"Gree Electric Appliances, Inc. of Zhuhai",B
"HISENSE HOME APPLIANCES GROUP CO., LTD.",BBB
Saudi Arabian Oil Company,BB
Saudi Arabian Mining Company SJSC,BB
Mobile Telecommunications Company Saudi Arabia SJSC,AA
Arabian Internet and Communications Services Company SJSC,B
Bupa Arabia for Cooperative Insurance Company SJSC,BB
Arab National Bank,BB
ASIAN PAINTS LIMITED,AA
BROOKFIELD ASSET MANAGEMENT LTD,BBB
CK ASSET HOLDINGS LIMITED,BBB
Asia Cement Corporation,BB
HDFC Asset Management Company Ltd,BB
"MIRAE ASSET SECURITIES CO.,LTD.",A
"Asia Vital Components Co., Ltd.",AA
AT&T INC.,BBB
ATMOS ENERGY CORPORATION,A
Atlas Copco Aktiebolag,AA
ANGLOGOLD ASHANTI PLC,A
AU SMALL FINANCE BANK LIMITED,AA
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AA
"ROCKWELL AUTOMATION, INC.",AA
GEELY AUTOMOBILE HOLDINGS LIMITED,AA
Chongqing Changan Automobile Company Limited,B
"Guangzhou Automobile Group Co., Ltd",BBB
"Anhui Jianghuai Automobile Group Corp., Ltd.",BB
Li Auto Inc.,AAA
NATIONAL AUSTRALIA BANK LIMITED,A
AVIVA PLC,AAA
Saudi Awwal Bank SJSC,BBB
AXIATA GROUP BERHAD,AA
"AXON ENTERPRISE, INC.",AA
CP AXTRA PUBLIC COMPANY LIMITED,BBB
AXIS BANK LIMITED,A
AXA SA,AAA
AYALA LAND INC.,BB
AZRIELI GROUP LTD.,BBB
"UNICREDIT, SOCIETA PER AZIONI",AA
LEONARDO - SOCIETA PER AZIONI,BBB
BANCO BPM SOCIETA PER AZIONI,A
POSTE ITALIANE - SOCIETA PER AZIONI,AA
ASSICURAZIONI GENERALI SOCIETA PER AZIONI,AAA
TERNA - RETE ELETTRICA NAZIONALE SOCIETA PER AZIONI,AA
MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI,AA
BAE SYSTEMS PLC,AA
BAKER HUGHES COMPANY,AA
Bangkok Expressway and Metro Public Company Limited,BBB
Bangkok Dusit Medical Services Public Company Limited,AA
Julius Baer Gruppe AG,AA
MALAYAN BANKING BERHAD,AA
WESTPAC BANKING CORPORATION,A
LLOYDS BANKING GROUP PLC,AA
Bank Aljazira SJSC,BB
BB Seguridade Participacoes S.A.,BB
BCE Inc.,BBB
"BECTON, DICKINSON AND COMPANY",BBB
BE Semiconductor Industries N.V.,AA
"BEIJING TONGRENTANG CO., LTD",BBB
BEIJING ENTERPRISES HOLDINGS LIMITED,A
BEIJING ENTERPRISES WATER GROUP LIMITED,A
"Beijing Yanjing Brewery Co., Ltd.",CCC
Beijing Kingsoft Office Software Inc,A
"Beijing Enlight Media Co., Ltd.",B
"Bank of Beijing Co., Ltd.",BB
Bunge Global SA,AAA
Bumrungrad Hospital Public Company Limited,A
BHARTI AIRTEL LIMITED,BBB
BHP GROUP LIMITED,A
BHARAT FORGE LTD,B
BHARAT PETROLEUM CORPORATION LIMITED,BB
BIM BIRLESIK MAGAZALAR ANONIM SIRKETI,BB
Genscript Biotech Corp,A
Cathay Biotech Inc,B
"BIO-RAD LABORATORIES, INC.",BBB
BKW AG,A
DANONE SA,AAA
BP P.L.C.,A
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",AAA
BANCO BTG PACTUAL S.A.,BB
"YUTONG BUS CO., LTD.",B
Byhealth Co Ltd,BBB
CARREFOUR SA,AA
ROYAL BANK OF CANADA,AA
"CBOE GLOBAL MARKETS, INC.",AA
CCR S.A.,AA
CDW CORPORATION,A
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,B
CGI INC.,AA
"CHANG HWA COMMERCIAL BANK, LTD.",BBB
"Yifeng Pharmacy Chain Co., Ltd.",BB
"Zhejiang China Commodities City Group Co., Ltd",CCC
CJ CheilJedang Corporation,AA
CK INFRASTRUCTURE HOLDINGS LIMITED,BB
CANADIAN IMPERIAL BANK OF COMMERCE,AA
Empresas CMPC S.A.,BBB
CMS ENERGY CORPORATION,AA
CANADIAN NATIONAL RAILWAY CO,AA
CNH Industrial N.V.,AAA
"Yunnan Chihong Zinc & Germanium Co., Ltd.",BB
MatsukiyoCocokara & Co.,AA
"Eisai Co., Ltd.",AA
PT Charoen Pokphand Indonesia Tbk,B
CPFL ENERGIA S.A.,BBB
China Resources Microelectronics Limited,B
CHINA RESOURCES GAS GROUP LIMITED,A
CSL LIMITED,AAA
CUMMINS INC.,AAA
CYBERARK SOFTWARE LTD.,AA
"Dai-ichi Life Holdings, Inc.",BBB
DBS GROUP HOLDINGS LTD,AA
"Promotora y Operadora de Infraestructura, S.A.B. de C.V.",B
WAREHOUSES DE PAUW NV,AA
VINCI SA,A
FIRST ABU DHABI BANK P.J.S.C.,A
Abu Dhabi Islamic Bank PJSC,AA
"Autobio Diagnostics Co., Ltd.",B
Banco do Brasil S.A.,A
"DOLLAR TREE, INC.",A
KEURIG DR PEPPER INC.,AA
DSV A/S,AA
"DYNATRACE, INC.",AA
DTE ENERGY COMPANY,AA
China Tourism Group Duty Free Corporation Limited,A
DUBAI ISLAMIC BANK (PUBLIC JOINT STOCK COMPANY),A
"CHURCH & DWIGHT CO., INC.",AA
POSCO DX COMPANY LTD.,BBB
"STEEL DYNAMICS, INC.",AA
ELECTRONIC ARTS INC.,AA
EASTMAN CHEMICAL COMPANY,BBB
Eastern Company SAE,CCC
EATON CORPORATION PUBLIC LIMITED COMPANY,A
"CHINA RARE EARTH RESOURCES AND TECHNOLOGY CO., LTD.",CCC
"Jiangsu Eastern Shenghong Co., Ltd.",BB
Far Eastern New Century Corporation,BBB
"China Northern Rare Earth (Group) High-Tech Co., Ltd.",CCC
Far East Horizon Limited,A
EBAY INC.,A
Empresas Copec S.A.,A
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,CCC
"CONSOLIDATED EDISON, INC.",A
